Combination,Checkpoint,Score
1b-410m,step134000,0.4934403598308563
1b-70m,step134000,0.15188074111938477
1.4b-160m,step141000,0.2730275094509125
1.4b-410m,step141000,0.5159862041473389
1.4b-70m,step141000,0.2639908194541931
1.4b-1b,step141000,0.592247724533081
14m-160m,step141000,0.2756880521774292
14m-70m,step141000,0.2700917422771454
14m-410m,step141000,0.3250458836555481
14m-1b,step141000,0.3151375949382782
160m-1b,step141000,0.2762155830860138
160m-70m,step141000,0.4695413112640381
160m-410m,step141000,0.27747708559036255
1b-70m,step141000,0.2591513693332672
1b-410m,step141000,0.5461927056312561
410m-70m,step141000,0.26114678382873535
1.4b-160m,step143000,0.2657110095024109
1.4b-14m,step143000,0.2820642292499542
14m-410m,step143000,0.28752291202545166
14m-160m,step143000,0.23169726133346558
1.4b-1b,step143000,0.6242660284042358
1.4b-70m,step143000,0.257912814617157
1.4b-410m,step143000,0.5150688290596008
14m-70m,step143000,0.23302750289440155
160m-1b,step143000,0.27284401655197144
14m-1b,step143000,0.287798136472702
160m-70m,step143000,0.4157339632511139
410m-70m,step143000,0.25692662596702576
160m-410m,step143000,0.23077982664108276
1b-70m,step143000,0.25389909744262695
1b-410m,step143000,0.5493348240852356
