,Model A,Model B,Step,Score
80,vit_tiny_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,5,0.5868800282478333
81,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_224.mae,5,0.3550399839878082
82,vit_tiny_patch16_224.augreg_in21k,vit_large_patch16_224.mae,5,0.490960031747818
83,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,5,0.47463998198509216
84,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,5,0.588640034198761
85,vit_tiny_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,5,0.540399968624115
86,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,5,0.523360013961792
87,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.5808799862861633
88,vit_tiny_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.5493599772453308
89,vit_tiny_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.530239999294281
90,vit_small_patch16_224.augreg_in21k,vit_base_patch16_224.augreg_in21k,5,0.5839999914169312
91,vit_small_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,5,0.5610399842262268
92,vit_small_patch16_224.augreg_in21k,vit_base_patch16_224.mae,5,0.31279999017715454
93,vit_small_patch16_224.augreg_in21k,vit_large_patch16_224.mae,5,0.4243200123310089
94,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,5,0.41471999883651733
95,vit_small_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,5,0.5031200051307678
96,vit_small_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,5,0.4795999825000763
97,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,5,0.4668799936771393
98,vit_small_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.5390400290489197
99,vit_small_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.5159199833869934
100,vit_small_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.5044800639152527
101,vit_base_patch16_224.augreg_in21k,vit_large_patch16_224.augreg_in21k,5,0.6388800144195557
102,vit_base_patch16_224.augreg_in21k,vit_base_patch16_224.mae,5,0.33208000659942627
103,vit_base_patch16_224.augreg_in21k,vit_large_patch16_224.mae,5,0.45975998044013977
104,vit_base_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,5,0.44839999079704285
105,vit_base_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,5,0.5734400153160095
106,vit_base_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,5,0.5464800000190735
107,vit_base_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,5,0.5320000052452087
108,vit_base_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.6030399799346924
109,vit_base_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.596799910068512
110,vit_base_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.5722400546073914
111,vit_large_patch16_224.augreg_in21k,vit_base_patch16_224.mae,5,0.3412800133228302
112,vit_large_patch16_224.augreg_in21k,vit_large_patch16_224.mae,5,0.45607998967170715
113,vit_large_patch16_224.augreg_in21k,vit_huge_patch14_224.mae,5,0.4471200108528137
114,vit_large_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b,5,0.5575200319290161
115,vit_large_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b,5,0.5432799458503723
116,vit_large_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b,5,0.5269599556922913
117,vit_large_patch16_224.augreg_in21k,vit_base_patch16_clip_224.laion2b_ft_in12k,5,0.5939199328422546
118,vit_large_patch16_224.augreg_in21k,vit_large_patch14_clip_224.laion2b_ft_in12k,5,0.6034400463104248
119,vit_large_patch16_224.augreg_in21k,vit_huge_patch14_clip_224.laion2b_ft_in12k,5,0.5884799957275391
